content,brand,model,score,sentiment_original,score_dict,sentiment_dict
siadam telefon miesiąca wygląd funkcjonalność bateria zbyt słaba brak stabilizacji obrazu zdjęcia ruchu praktrycznie naruszone zamazane rozmyte dużo szumów xperia xz robi niebo lepsze zdjęciaco zdziwiło połączeniu bezprzewodowych słuchawek pionieera brak możliwości ustawienia korekcji dźwięku kolwiek związane podłączeniu słuchawek dokanałowych przejściówkę mini jack ustawienia dostępne poprawia oprogramowaniu denerwuje momo głośnik takim miejscu zakrywany mały palec a musimy kieszeni zawsze zakryty słychać przypadkowym zakryciu głośnika telefon nieslyszalny podsumowując telefon udany kilka mankamentów cenie powinno poprawione najważniejsze bateria głośnik stereo stabilizacja obrazu miernym poziomie,Xiaomi,Mi9,0.8,P,0.13414634146341464,P
bateria tragedia reszte zgodne oczekiwaniami,Xiaomi,Mi9,0.8,P,-0.6,N
elegancki nierzucający oczy szczególnie nietransparentnym etui rozmiar masa trochę przytłaczają pierwszym kontakcie klasie dużych telefonów trudno mieć zastrzeżenia wybrać mniejszelżejsze modele działa sprawnie szybko czytnik linii papilarnych sprawuje dobrze oczekuje aparatu poziomu lustrzanki trudno mieć zastrzeżenia dobry ekran żywych kolorach dobrej jasności strony wyświetlają natychmiast podobnie szybko uruchamiane aplikacje zestawowa ładowarka szybko ładuje brakuje dwóch głośników stereo bateria przyzwoita chociaż mogłaby bardziej pojemna korzystanie telefonu mocnego etui odważnych zbyt śliski duży ciężki przeżył lądowanie ziemi telefon osób dużo korzystają internetu aplikacji duży ekran robią sporo zdjęć gotowe wydać 2 dobry telefon siebie a pokazówkę otoczenia używać 45 uwagi rozmiar świetnie sprawuje słuchawką douszną każdym razem wyciągać kieszenitorby zwłaszcza nieprzyjaznym betonowym otoczeniu głównie dzwonisz sporadycznie korzystasz przeglądarki aplikacji najlepiej wybrać 5 średnią półkę optymalnym wyborem,Xiaomi,Mi9,0.9,P,0.25806451612903225,P
bateria trochę mała całym dniu korzystania telefonu zostaje 6050 takim złym wynikiem szczęście producent dorzucił ładowarkę quick charge telefon najbardziej polecam szybki aparat zaskoczył jakością pewno służył najmniej 2 lata pewnie dłużej xiaomi lepsze,Xiaomi,Mi9,0.9,P,0.7941176470588235,P
krótki czas użytkowania pierwsze wrażenie całkiem pozytywne,Xiaomi,Mi9,0.9,P,0.7142857142857143,P
wygląd szybkość aparat robi świetne zdjęcia jedną wad bateria jednakże kogo przesiadłam większej pojemności ciężko odnaleźć brak motywów odpowiada aktualizacja systemu zmieni inaczej telefon cenie plus,Xiaomi,Mi9,0.9,P,0.038461538461538464,P
aparat telefoniczny tą kwotę najbardziej polecany samsung zawsze używałem najbardziej mogę powiedzieć jestem nowego nabytku zadowolony zobaczymy trakcie użytkowania,Xiaomi,Mi9,0.9,P,0.8421052631578947,P
dużo mówić swojej półce cenowej konkurencji flagowa specyfikacja cenę średniaka mówi sama siebie wysoka wydajność nienaganna płynność działania słowa świetnie opisują 9 aparat 3 obiektywami daje duże możliwości a zastosowanie podwójnego modułu gps zapewnia szybki stabilny namiar czegoś przyczepić ktoś drobiazgowy powiedziałby bateria mogła dłużej trzymać sot rzędu 56h nadzwyczajnego ot rynkowy standard czepiać moduł aparatu nieco zbyt wystaje zwykła złośliwość patrząc cenę telefonu a przemilczając aspekt zestawiając mi9 najwyższą półką przyznać flagowiec prawdziwego zdarzenia,Xiaomi,Mi9,0.9,P,0.5066666666666667,P
mega fajny telefon przesiadka xiaomi redmi note 4x dobrze leży dłoni cienki ładne zdjęcia chyba najlepsze wszystkich telefonów xiaomi lepszego telefonu rynku cenie chodzi płynnie duży kontrast wyświetlacza dobrze działa słuchawkami bezprzewodowymi duża głośność funkcja voice enhancement ładowanie bezprzewodowe szybkie ładowanie 0 max 1h nfc aparat 4 opcje robienia zdjęć szeroki kąt szeroki kąt teleobiektyw zoom 2x opcja 48mpix zdjęcia wychodzą dobrze dobrym świetle tryb nocny manualny slow motion sporo ustawień selfie aparacie ai filtry koloru upiększanie hdr a opcji portret zmieniać głębię ostrości selfie kamerze producent dorzuca opakowanie silikonowe niestety chroni aparatu kupić etui dokupić szybkę aparat odejmuję pół gwiazdki baterię całym dniu zostaje jakieś 30 oszczędnym użytkowaniu,Xiaomi,Mi9,0.9,P,0.5137614678899083,P
dobry telefon swojej cenie dzien dzisiejszy rynku lepszego wg jesli chodzi stosunek cenajakość,Xiaomi,Mi9,0.9,P,0.8461538461538461,P
pierwszy uzytkuę telefon marki powiem jestem niego zadowolonaszybkie ładowanie przejrzysty ekram śmiga super polecam,Xiaomi,Mi9,0.9,P,1.6428571428571428,P
polecam szybki telefon taką cenę trudno znaleźć lepszy,Xiaomi,Mi9,1.0,P,0.625,P
ferrari cenie skody,Xiaomi,Mi9,1.0,P,0.0,P
telefon petarda miażdży iphona x itp cena jakości rewelacja,Xiaomi,Mi9,1.0,P,2.4444444444444446,P
cenie magia czytnik ekranie zawsze łapie,Xiaomi,Mi9,1.0,P,1.1666666666666667,P
rewelacja szybki zero zacięć 50 ceny samsunga s10,Xiaomi,Mi9,1.0,P,0.875,P
telefon sprostał moim oczekiwaniom jestem zadowolony,Xiaomi,Mi9,1.0,P,1.8333333333333333,P
solidne wykonanie dobre podzespoły polecam,Xiaomi,Mi9,1.0,P,3.0,P
dobry telefon dwóch tygodniach użytkowania jestem zadowolona intensywnym użytkowaniu bateria wprawdzie szybko leci dół ładowanie naprawdę ultraszybkie odczuwam dyskomfortu tytułu zdjęcia robi dobre świetle dziennym trochę gorsze pomieszczeniach jakość znośna odblokowanie przyciskiem palca działa poprawnie chociaż czasem niedokładnym krzywym przyłożeniu odblokuje ekranu telefon śmiga lewis hamilton formule 1 zacina potrzebuje trochę czasu wczytanie danych włączeniu polecam świetna cenowo jakościowo alternatywa flagowca samsunga,Xiaomi,Mi9,1.0,P,0.7258064516129032,P
duży ekran piękne zdjęcia robi jestem zadowolona,Xiaomi,Mi9,1.0,P,1.8571428571428572,P
działa przeciwieństwie starego telefonu 🙂,Xiaomi,Mi9,1.0,P,1.0,P
telefon szybki dobrą bateria godny polecenia,Xiaomi,Mi9,1.0,P,2.5,P
dniu użytkowanie stawierdzam super,Xiaomi,Mi9,1.0,P,2.0,P
stosunek ceny jakości istna poezja,Xiaomi,Mi9,1.0,P,0.8,P
najwyższym poziomie polecam,Xiaomi,Mi9,1.0,P,1.6666666666666667,P
wersja europejska sprawne,Xiaomi,Mi9,1.0,P,1.3333333333333333,P
jestem zadowolony,Xiaomi,Mi9,1.0,P,3.5,P
super aparat mega obudowa telefonu,Xiaomi,Mi9,1.0,P,1.6,P
świetny telefon dobrej cenie,Xiaomi,Mi9,1.0,P,3.5,P
intensywnie analizowałem telefony dostępne aktualnie rynku przedziale 20004500 pln akurat zależało dual simie aparacie szybkości działania byłem bliski kupienia iphona mówię popełniłbym błąd straciłbym okazję zapoznania firmą xiaomi a przyznam zaskoczyli telefon wizualnie budzi zainteresowanie mieni tęcza zdjęcie odpowiadają działa szybko akurat kontrast silny działałem s a5 zupełna zmiana technologii niemniej polecam warto kasie niema ukrywać,Xiaomi,Mi9,1.0,P,0.44642857142857145,P
produkt spełnił moje oczekiwania,Xiaomi,Mi9,1.0,P,0.0,P
zona zadowolona,Xiaomi,Mi9,1.0,P,3.5,P
zgodne opisem godne polecenia,Xiaomi,Mi9,1.0,P,3.75,P
telefon spełnia moje wymagania,Xiaomi,Mi9,1.0,P,1.25,P
smartfon ładnie prezentuje tą cenę trudno znaleźć bardziej kompletny telefon początkowo sprawiał wrażenie dużego szybko niego przywyknąć wbrew panującej opinii jestem zadowolony czasu działania baterii problemu wyciągnąć 55 godziny działania ekranie poprzednim telefonie 35 absolutne maximum,Xiaomi,Mi9,1.0,P,0.3055555555555556,P
super telefon dobrej cenie,Xiaomi,Mi9,1.0,P,3.25,P
super sprzęt dobrą cenę,Xiaomi,Mi9,1.0,P,3.25,P
krótko temat super,Xiaomi,Mi9,1.0,P,2.6666666666666665,P
,Xiaomi,Mi9,1.0,P,0.0,P
telefon świetny rozmiar odpowiedni duży mały kolor niebieski oryginalny jedyny minus telefonie pozostają widoczne odciski skłaniać częstego polerowania wersja global działa bezproblemowo polecam mój drugi smartphone marki xiaomi poprzedni służył trzy lata mam nadzieję niezawodną jednostką,Xiaomi,Mi9,1.0,P,0.8888888888888888,P
prawdopodobnie najlepszy smartfon cenie nieco duży zewnętrzne wymiary niemal identyczne oneplusem 3t 48mpix aparat robi wyraźne zdjęcia brak optycznej stabilizacji widoczny zdjęciach robionych szybko ogólna ocena 5 stosunek cenamożliwości odniesieniu konkurencji,Xiaomi,Mi9,1.0,P,0.25806451612903225,P
telefon działa błyskawicznie zero przycinek ekran rewelacyjny dobre kolory światło widać czerń ekranu taka kolor ramki słoneczne dni kogoś denerwować jedyna wada bateria chodzi czas pracy spokojnie jeden dzień zwykłym użytkowaniu intensywnym koło 5h,Xiaomi,Mi9,1.0,P,0.47058823529411764,P
myślę cenie znajdziemy dobrego telefonu xiaomi mi9 telefon sprawuje mega dobre zdjęcia super filmiki dobrze nagrywany dźwięk jedynym minusem słaba jakość nagrań zdjęć nocy większość wykonywana dzień a nocy dobrym świetle obawiać,Xiaomi,Mi9,1.0,P,0.59375,P
telefon świetny 1899zl konkurencji szybkość działania poziomie plusa topowo bateria mininum 6h właczonym ekranie ładowanie turbo szybkie rana pracą problemu dobija 100 aparat miłe zaskoczenie chodzi xiaomi foty poziomie s9 dobrze czytnik linii papilarnych dostał aktualizację działa wcześniejsze montowane pleckach dobrze milion razy lepiej s7 s8 cenie sensu zastanawiać czymś innym,Xiaomi,Mi9,1.0,P,0.6666666666666666,P
telefon pięknie prezentuje świetnie pracuje szybkie ładowanie pełnej baterii fajna sprawa opakowaniu dołączone etui jestem zadowolona zakupu polecam pieniądze warto szkoda przepłacać telefon logiem nnych firm takimi samymi parametrami,Xiaomi,Mi9,1.0,P,0.8620689655172413,P
telefon kupiłam synowi choinkę zamawiając nocą piątek byłam pewna dotrze czas a taka niespodzianka poniedziałek rano zadzwonił kurier pracy odebrałam przesyłkę 😀 brawo sprzedawcy kuriera powinno kupować wszędzie 👍polecam 101,Xiaomi,Mi9,1.0,P,0.3,P
używam miesiąca właściwie mam czego przyczepić świetny smartfon każdym względem jedyne drobne słabości nieco gorszy ekran samsunga s8 nakładka miui trzymająca ikony wszystkich aplikacji pulpicie przyzwyczaić chyba ktoś przesiada lg aplikacja xiaomi przymusowo skanująca każdą nowo instalowaną aplikację jakby play protect google przejściówka usbcjack działają niektóre zestawy słuchawkowe świetne akg samsunga brak wsparcia google daydream naprawdę drobiazgi polecam smartfon,Xiaomi,Mi9,1.0,P,0.5932203389830508,P
telefon mam 3 prawie tygodnia muszę powiedzieć jestem zadowolony telefon zaciął razu działa płynnie zarzutu smartphone wygląda ładnie aparat robi dobre zdjęcia dnia ekran sprawuje świetnie jasność ekranu dnia widać,Xiaomi,Mi9,1.0,P,0.9,P
najlepszy stosunku ceny jakości wady moim odczuciu największą bateria mocniej obciążona podczas grania wytrzymuje szczególnie długo cała reszta działa świetnie czego przyczepić,Xiaomi,Mi9,1.0,P,1.0454545454545454,P
świetny telefon najlepszy stosunku jakości ceny półce cenowej dobre zdjęcia świetny wyświetlacz długi czas działania baterii niesamowicie szybkie ładowanie 0 100 około 75 minut dobry flagowiec niską cenę skarb,Xiaomi,Mi9,1.0,P,1.896551724137931,P
dniach używania stwierdzam telefon xiaomi 9 zdecydowanie spełnia moje oczekiwania wszystkim szybkość wydajność pracy dobra jakość wykonania szybkie ładowanie baterii polecam,Xiaomi,Mi9,1.0,P,1.1428571428571428,P
jestem zadowolona duży jasny szczegółowy wyświetlacz amoled hdr10 robi robotę super posiada małe ramki łezkę zaokrąglony ekran tył znakomita cena możliwości szybkie działanie systemu android 9 wysoka wydajność dużo pamięci odblokowywanie twarzą szybkie czytnik linii papilarnych ekranie spoko powala telefon szybki płynny zdjęcia naprawdę dobre tryb pro ktoś ogarnia zrobi świetne zdjęcia stabilizacja wideo przeciętna filmy płynne posiada mało pojemną baterię szybko ładuję brak wodoszczelności wad posiada dużo plusów daje 5 gwiazdek,Xiaomi,Mi9,1.0,P,0.9444444444444444,P
jestem zadowolona xiaomi namówili moi najbliżsi maja smartfony firmy super domu jestem królową mam najlepszy sprzęt głównie moje narzędzie pracy rozrywki jestem zachwycona jakością zdjęć fantastyczne d uwielbiam robić zdjęcia 3 aparaty raj efekt wow d rewelacyjna cena takiej jakości sprzęt wizualnie prezentuje bogato bateria spełnia moje oczekiwania zauważyłam większy pobór energii użyciu gps większość smartfonów reaguje należy zachować instrukcji ładowania myślę bateryjka posłuży długo tj pozwolić spaść poniżej 20 ładować 100 granicach 85 zawsze miałam wysokiej jakości sprzęty razem taki mam yupi,Xiaomi,Mi9,1.0,P,1.0120481927710843,P
telefon prostu świetny mieć niczego więcej podobnej cenie podobnych parametrach prawda minimalne dociągnięcia bieżąco nimi pracują wychodzi,Xiaomi,Mi9,1.0,P,0.5294117647058824,P
zakupu chwili jestem zadowolony chociaż efektu wow osobiście cały czas mam wrażenie ekran ogromny a sam telefon ładny dobrze wykonany pewne szczegóły zauważone trakcie korzystania niezbyt precyzyjny czytnik linii papilarnych kamera trochę wystaje zpod dołączonego zestawie etui wyłączenie gps ukryte głęboko ustawieniach wierzchu dual gps wbudowane aplikacje pogoda wideo żądają dostępu robienia callów uruchomieniu nowego urządzenia android ciągnął 3035 ram a zainstalowanymi aplikacjami 50 huawei p9 miałem 3gb ram sam zestaw aplikacji jakoś mocno obciążał system ogólnie ładny wydajny telefon szczególnie cenie,Xiaomi,Mi9,1.0,P,0.5365853658536586,P
szeroki kąt aparacie fajna sprawa ułatwia fotografowanie krajobrazów przełączanie między obiektywami intuicyjne tryb profesjonalny lepszy byłby jakby więcej parametrów,Xiaomi,Mi9,1.0,P,1.105263157894737,P
dobry telefon dobrej cenie takiej specyfikacji działa zarzuty bateria trzyma dziwo dwa dni a straszono taka słaba robi super zdjęcia szybko działa żadnych zarzutów,Xiaomi,Mi9,1.0,P,0.3333333333333333,P
hardo zapierałem kupnem telefonu chin szpiegostwo etc ceny samsunga kosmosu ceny sony bardziej stosunku nieciekawej oferty lg motorola zawiodły jakością telefonów jakich używałem byłem stanie wypieniezyc iphonea chinole zaczęły kusić zawiodlem miesiącu używania nadal sama przyjemność wysoka jakość kompletny zestaw funkcjonalności ktoś obawy chinolem sparzył przeszłości polecam zreewaluować swoją ocenę dołączam teamu xiaomilepsze,Xiaomi,Mi9,1.0,P,0.5094339622641509,P
telefon naprawde świetny przesiadce remi 4x widac różnicę bateria trzyma intensywnej pracy 2 dni ekran amoled świetny aparat daje wiecej satysfakcji zadowolenia telefonu polecam,Xiaomi,Mi9,1.0,P,1.25,P
sprzęt dobry posiadam tydzień wystarczyło sprawdzić możliwości spełnia moje oczekiwania 99 nieco większa bateria byłby idealny,Xiaomi,Mi9,1.0,P,1.25,P
używam telefony xiaomi dłuższego czasu świetna wydajność możliwości niewielkiej cenie xiaomi 9 dodatku ładny,Xiaomi,Mi9,1.0,P,1.6428571428571428,P
2 miesiącach użytkowania działa płynnie zawiesza jedyny minus szybko wyczerpująca bateria jasnym ekranie równie szybko ładuje da przeżyć,Xiaomi,Mi9,1.0,P,0.2222222222222222,P
dwóch tygodniach używania stwierdzam udany zakup dualband gps l1l5e1e5 działa dokładność praktyczna dobrych warunkach wynosi 12 m testowana aplikacji gpstest autor sean barbeau wyraźnie wyższa nowych smartfonach chipsetem gps obsługującym wyłącznie l1e1 dokładność powinna wzrosnąć większa liczba satelitów obsługujących l5e5inne,Xiaomi,Mi9,1.0,P,0.6,P
super telefon pobicia kategorii cenowej dobre parametry niezwykle wygodna obsługa a prostu piękny,Xiaomi,Mi9,1.0,P,2.076923076923077,P
telefon szybki jedyna wada kiepski głośnik podczas rozmow nienaturalnie słychać rozmówcę trochę cicho przyzwyczaić,Xiaomi,Mi9,1.0,P,-0.6428571428571429,N
mam dopiero 2 dni trudno wyrazić swoją opinię telefonie wygląda super komplecie etui fajny aparat selfie,Xiaomi,Mi9,1.0,P,0.5,P
brak widocznych problemów aparat sprawnie działający szybko działające aplikacje widocznych zacięć czas baterii 1 dzień szybkie ładowanie,Xiaomi,Mi9,1.0,P,0.058823529411764705,P
telefon spełnia moje wymagania działa szybko obraz dobrej jakości dokładne zdjęcia dobrze leży dłoni przydatne nfc duża pamięć ciekawy ładny design,Xiaomi,Mi9,1.0,P,2.0,P
rewelacja każdym względem jedyny minusik posiada gniazda karte rozszerzenia pamięci kolejne 128gb,Xiaomi,Mi9,1.0,P,0.4166666666666667,P
dobry produkt jedyny mankament logowanie pdst linii papailarnych zawsze łapie razu,Xiaomi,Mi9,1.0,P,0.18181818181818182,P
telefon świetny genialny wyświetlacz aparat beteria parametry trzyma dobrze,Xiaomi,Mi9,1.0,P,2.6666666666666665,P
telefon idealny cenie równych piekielnie szybki dziennym świetle robi świetne zdjęcia niektórzy wady podają brak złącza słuchawkowego wodoodporny akurat wcale przeszkadza jedyne czego mógłbym przyczepić wystający aparat zakrywany całości fabrycznym pokrowcem,Xiaomi,Mi9,1.0,P,0.12903225806451613,P
dobry telefon stosunek jakości ceny idealny dobrze działający czytnik linii papilarnych,Xiaomi,Mi9,1.0,P,2.6363636363636362,P
dobry smartfon aparat robi naprawdę dobre zdjęcia zorza trybie nocnym porostu rewelacja,Xiaomi,Mi9,1.0,P,1.6666666666666667,P
cieniutki aparat tyłu mocno wystaje ślizgi koniecznie jakiś pokrowiec wyleciał rąk technicznie szybko działa,Xiaomi,Mi9,1.0,P,0.35714285714285715,P
produkt spełnia moje oczekiwania posiadał stabilizację obrazu aparacie pojemniejszą baterię ocena wzrosła 105,Xiaomi,Mi9,1.0,P,0.7692307692307693,P
świetny telefon bateria pracuje zadawalająco długo tą pojemność szybko ładuje,Xiaomi,Mi9,1.0,P,0.9,P
świetny design aparat zawodzi bateria trzyma około pół dnia ciągłym oglądaniu filmików youtube sporo polecam każdemu,Xiaomi,Mi9,1.0,P,0.875,P
telefon najbardziej prosty obsłudze działa należy jestem zadowolona,Xiaomi,Mi9,1.0,P,1.5,P
dobrze wykonanydobry wyświetlacz szybko działaniezły aparat bateria średnia ładowanie indukcyjne 1700złdobry wybór,Xiaomi,Mi9,1.0,P,0.4166666666666667,P
jestem tygodniu użytkowania śmiga świetny procek odblokowywanie pomocą twarzy działa dobrze odblokowanie palcem ujdzie mam problemy płaceniem nfc źle dokonfigurowałem telefon duży dosyć ciężki minus wystająca dosyć mocno kamera mam kupiony dosyć pancerny case a kamera wystaje all in all pieniądze rewelacja,Xiaomi,Mi9,1.0,P,0.40476190476190477,P
telefon świetny bateria mogła większej pojemności a 1010,Xiaomi,Mi9,1.0,P,1.125,P
mam dwa dni jestem zadowolony działa błyskawicznie a aparat foto rewelacyjny naprawdę polecam tą cenę,Xiaomi,Mi9,1.0,P,2.2,P
minus mocno odstający aparat brak gniazda minijack reszta flagowym poziomie klasie cenowej zdecydowany faworyt,Xiaomi,Mi9,1.0,P,0.14285714285714285,P
mój drugi xiaomi zdecydowanie polecam modele flagowce producenta,Xiaomi,Mi9,1.0,P,0.625,P
telefon najbardziej spełnił moje oczekiwania bateria trzyma koło jednego dnia telefon działa szybko polecam,Xiaomi,Mi9,1.0,P,0.7142857142857143,P
poki zarzutu dobra jakosc wykonania dziala szybko stosunek wartosci ceny najlepszy rynku,Xiaomi,Mi9,1.0,P,1.0,P
nakładka miui 10 dobra opisują samo urządzenie zastrzeżeń warte swojej ceny,Xiaomi,Mi9,1.0,P,0.18181818181818182,P
dobry telefon taką cenę 2k,Xiaomi,Mi9,1.0,P,1.0,P
spełnia oczekiwania dobry stosunek jakości ceny,Xiaomi,Mi9,1.0,P,2.3333333333333335,P
